title,author,year
Evaluating the Bias in LLMs for Surveying Opinion and Decision Making in Healthcare.,"['Yonchanok Khaokaew', 'Flora D. Salim', 'Andreas Züfle', 'Hao Xue 0001', 'Taylor Anderson 0001', 'C. Raina MacIntyre', 'Matthew Scotch', 'David J. Heslop']",2025
Tell Me You're Biased Without Telling Me You're Biased - Toward Revealing Implicit Biases in Medical LLMs.,"['Farzana Islam Adiba', 'Rahmatollah Beheshti']",2025
Enabling Scalable Evaluation of Bias Patterns in Medical LLMs.,"['Hamed Fayyaz', 'Raphael Poulain', 'Rahmatollah Beheshti']",2024
Towards Robust and Fair Next Visit Diagnosis Prediction under Noisy Clinical Notes with Large Language Models.,['Heejoon Koo'],2025
Can SAEs reveal and mitigate racial biases of LLMs in healthcare?,"['Hiba Ahsan', 'Byron C. Wallace']",2025
LunaAI: A Polite and Fair Healthcare Guidance Chatbot.,"['Yuvarani Ganesan', 'Salsabila Harlen', 'Azfar Rahman Bin Fazul Rahman', 'Akashdeep Singh', 'Zahra Fathanah', 'Raja Jamilah Raja Yusof']",2026
Navigating the Rabbit Hole: Emergent Biases in LLM-Generated Attack Narratives Targeting Mental Health Groups.,"['Rijul Magu', 'Arka Dutta 0001', 'Sean Kim', 'Ashiqur R. KhudaBukhsh', 'Munmun De Choudhury']",2025
"""Who Has the Time?"": Understanding Receptivity to Health Chatbots among Underserved Women in India.","['Manvi S', 'Roshini Deva', 'Neha Madhiwalla', 'Azra Ismail']",2025
Elucidating Mechanisms of Demographic Bias in LLMs for Healthcare.,"['Hiba Ahsan', 'Arnab Sen Sharma', 'Silvio Amir', 'David Bau', 'Byron C. Wallace']",2025
"Deciphering Scientific Collaboration in Biomedical LLM Research: Dynamics, Institutional Participation, and Resource Disparities.","['Lingyao Li', 'Zhijie Duan', 'Xuexin Li', 'Xiaoran Xu', 'Zhaoqian Xue', 'Siyuan Ma', 'Jin Jin']",2025
A Toolbox for Surfacing Health Equity Harms and Biases in Large Language Models.,"['Stephen R. Pfohl', 'Heather Cole-Lewis', 'Rory Sayres', 'Darlene Neal', 'Mercy Nyamewaa Asiedu', 'Awa Dieng', 'Nenad Tomasev', 'Qazi Mamunur Rashid', 'Shekoofeh Azizi', 'Negar Rostamzadeh', 'Liam G. McCoy', 'Leo Anthony Celi', 'Yun Liu 0013', 'Mike Schaekermann', 'Alanna Walton', 'Alicia Parrish', 'Chirag Nagpal', 'Preeti Singh', 'Akeiylah DeWitt', 'Philip Andrew Mansfield', 'Sushant Prakash', 'Katherine A. Heller', 'Alan Karthikesalingam', 'Christopher Semturs', 'Joelle K. Barral', 'Greg Corrado', 'Yossi Matias', 'Jamila Smith-Loud', 'Ivor Horn', 'Karan Singhal']",2024
Detecting Bias and Enhancing Diagnostic Accuracy in Large Language Models for Healthcare.,"['Pardis Sadat Zahraei', 'Zahra Shakeri']",2024
"LLM-Enhanced, Data-Driven Personalized and Equitable Clinician Scheduling: A Predict-then-Optimize Approach.","['Anjali Jha', 'Wanqing Chen', 'Maxim Eckmann', 'Ian Stockwell', 'Jianwu Wang 0001', 'Kai Sun']",2025
ROBoto2: An Interactive System and Dataset for LLM-assisted Clinical Trial Risk of Bias Assessment.,"['Anthony Hevia', 'Sanjana Shivani Chintalapati', 'Veronica Ka Wai Lai', 'Thanh Tam Nguyen', 'Wai-Tat Wong', 'Terry Klassen', 'Lucy Lu Wang']",2025
DiversityMedQA: Assessing Demographic Biases in Medical Diagnosis using Large Language Models.,"['Rajat Rawat', 'Hudson McBride', 'Dhiyaan Nirmal', 'Rajarshi Ghosh', 'Jong Moon', 'Dhruv Alamuri', ""Sean O'Brien"", 'Kevin Zhu']",2024
CLIMB: A Benchmark of Clinical Bias in Large Language Models.,"['Yubo Zhang', 'Shudi Hou', 'Mingyu Derek Ma', 'Wei Wang 0010', 'Muhao Chen 0001', 'Jieyu Zhao 0001']",2024
Gender Bias in Large Language Models for Healthcare: Assignment Consistency and Clinical Implications.,"['Mingxuan Liu 0005', 'Yuhe Ke', 'Wentao Zhu', 'Mayli Mertens', 'Yilin Ning', 'Jingchi Liao', 'Chuan Hong', 'Daniel Shu Wei Ting', 'Yifan Peng 0002', 'Danielle S. Bitterman', 'Marcus Eng Hock Ong', 'Nan Liu 0003']",2025
Fair Foundation Models for Medical Image Analysis: Challenges and Perspectives.,"['Dilermando Queiroz', 'Anderson Carlos', 'André Anjos', 'Lilian Berton']",2025
Demographic Bias of Expert-Level Vision-Language Foundation Models in Medical Imaging.,"['Yuzhe Yang 0003', 'Yujia Liu', 'Xin Liu 0034', 'Avanti Gulhane', 'Domenico Mastrodicasa', 'Wei Wu', 'Edward Jay Wang', 'Dushyant W. Sahani', 'Shwetak N. Patel']",2024
Beyond the Rubric: Cultural Misalignment in LLM Benchmarks for Sexual and Reproductive Health.,"['Sumon Kanti Dey', 'Manvi S', 'Zeel Mehta', 'Meet Shah 0007', 'Unnati Agrawal', 'Suhani Jalota', 'Azra Ismail']",2025
SARHAchat: An LLM-Based Chatbot for Sexual and Reproductive Health Counseling.,"['Jiaye Yang', 'Xinyu Zhao', 'Tianlong Chen 0001', 'Kandyce Brennan']",2025
